Function Name,What It Does,How Does It Work,Reusability Score (1-10)
switchLanguage,"Switches between target languages (Chinese, Spanish, English) by reloading page with new language in localStorage","Validates language exists in MODULE_SETS, saves language to localStorage with key 'selected_language', sets window.currentLanguage and window.MODULE_URLS, console logs the switch, calls window.location.reload() to reinitialize app with new modules",9
getTargetLanguage,"Returns the current target language being learned based on loaded modules","Checks if window.loadedActMeta exists, iterates through act numbers, returns meta.wordColumns[0].toLowerCase() from first act found, returns null if none",9
toTitleCase,"Converts a string to title case (first letter capitalized)","Returns empty string if falsy input, uses charAt(0).toUpperCase() for first letter, concatenates with slice(1).toLowerCase() for rest",10
validateTargetLanguageConsistency,"Validates that all loaded acts are for the same target language","Creates Set of languages, iterates loadedActMeta to collect wordColumns[0] from each act, checks if Set.size > 1 (inconsistent), logs error with language list, returns boolean",8
isChineseMode,"Returns true if current target language is Chinese","Calls getTargetLanguage() and checks if result === 'chinese'",10
updateChineseModeClass,"Adds/removes 'chinese-mode' CSS class on body element based on target language","Calls isChineseMode(), if true adds 'chinese-mode' class to document.body.classList, else removes it",8
getTranslationsConfig,"Returns translations config from loaded act metadata (__actMeta.translations)","Checks if window.loadedActMeta exists, iterates through act numbers, returns meta.translations from first act found, returns null if none",9
getDefaultTranslation,"Returns default translation language from loaded act metadata","Checks if window.loadedActMeta exists, iterates through act numbers, returns meta.defaultTranslation from first act found, defaults to 'english' if none",9
getWordColumns,"Returns word column structure from loaded act metadata","Checks if window.loadedActMeta exists, iterates through act numbers, returns meta.wordColumns array from first act found, returns null if none",9
getValidLanguages,"Returns list of valid native language options from translations config","Calls getTranslationsConfig(), returns Object.keys(translations) if exists, otherwise empty array",9
getTtsLanguageCode,"Returns language code for text-to-speech based on target language (es-ES, zh-CN, en-US)","Iterates loadedActMeta to get wordColumns[0], converts to lowercase, uses langMap object to convert language name to locale code (spanish→es-ES, chinese→zh-CN, english→en-US, etc.), returns mapped code or null",10
decodeObfuscatedModule,"Decodes obfuscated modules using 3-layer deobfuscation (base64 + zlib + string reversal)","Async imports module from URL, extracts module.w (compressed base64 string), decodes base64 with atob() and converts to Uint8Array, decompresses with pako.inflate(), decodes binary to UTF-8 string with TextDecoder, reverses string with split('').reverse().join(''), parses reversed string as JSON, returns parsed object, throws error on failure",10
loadAct,"Loads and decodes an act module, extracts metadata, caches it in loadedActs and loadedActMeta","Validates MODULE_URLS exists, calculates module index (actNumber - 1), validates index in range, gets URL from MODULE_URLS[index], calls decodeObfuscatedModule() with URL, extracts __actMeta from decoded data, deletes __actMeta property from data, returns object with { actMeta, packs }",10
shuffleArray,"Fisher-Yates shuffle algorithm for randomizing arrays","Creates copy of input array with spread operator, iterates backwards from length-1 to 1, for each position generates random index j from 0 to i using Math.floor(Math.random() * (i+1)), swaps elements at positions i and j using destructuring assignment, returns shuffled copy without modifying original",10
combineAndShuffleWords,"Combines base and example words with controlled shuffling (base first, examples second)","Extracts baseWords and exampleWords arrays from pack, shuffles baseWords with shuffleArray() and tags each as {word, type:'Base Word'}, shuffles exampleWords and tags as {word, type:'Example Word'}, checks difficulty parameter: 'easy'=return base only, 'medium'=return examples only, 'hard'=concatenate [shuffledBase, shuffledExamples] (base first), logs counts, returns combined array",10
normalizeChar,"Normalizes characters for typing comparison (removes accents, converts to lowercase)","Returns empty string if falsy, chains toLowerCase(), normalize('NFD') to decompose accented characters, replace(/[\u0300-\u036f]/g, '') to remove combining diacritical marks, returns normalized character",10
findNextTypingPosition,"Finds the next untyped position in a word for typing validation","Iterates through chars array to find first position not in typedPositions Set, if none found returns -1 (complete), enters while loop to skip spaces: marks space positions as typed by adding to Set, increments nextPos, exits loop when non-space found or end reached, returns nextPos or -1",10
checkTypingKey,"Checks if a typed key matches the target character (accent-insensitive)","Returns 'space' if key is space character (ignored), normalizes both key and targetChar with normalizeChar(), compares normalized strings, returns 'correct' if equal else 'wrong'",10
isWordComplete,"Checks if all positions in a word have been typed correctly","Filters chars array to count non-space characters, compares typedPositions.size >= nonSpaceCount, returns boolean",10
coupleChineseWithPinyin,"Couples Chinese characters with pinyin syllables into {char, pinyin} objects, handles Latin blocks","Splits pinyin by whitespace into array, initializes result array and pinyinIndex counter, iterates through each character in chinese string, uses regex /[a-zA-Z]/.test() to detect Latin letters, if Latin maps char to itself {char, pinyin:char}, if Chinese maps to next pinyin syllable {char, pinyin:pinyinParts[pinyinIndex]} and increments pinyinIndex, returns array of coupled objects",10
renderChineseWithPinyin,"Renders coupled Chinese+pinyin array as HTML with characters above pinyin","Creates span container with 'chinese-coupled' class, iterates coupledArray, for each creates 'char-group' span, appends 'chinese-char' span with character and 'pinyin' span with pinyin syllable, appends char-group to container, returns container element",10
renderChineseText,"Convenience function that couples and renders Chinese text with pinyin","Calls coupleChineseWithPinyin(chinese, pinyin) to get coupled array, passes result to renderChineseWithPinyin(), returns HTML element",10
getChineseHtml,"Returns HTML string for Chinese text with pinyin (non-DOM version of renderChineseText)","Calls renderChineseText(chinese, pinyin) to get DOM element, accesses .outerHTML property, returns HTML string",10
saveState,"Saves state object to localStorage with the given storage key","Uses try-catch block, calls JSON.stringify() on state object, calls localStorage.setItem() with STORAGE_KEY and stringified state, logs warning on error",10
loadState,"Loads and parses state from localStorage with error handling","Uses try-catch block, calls localStorage.getItem() with STORAGE_KEY, if result exists parses with JSON.parse() and returns object, returns null if no stored state or on error, logs warning on error",10
toggleDebugMode,"Toggles debug mode visibility when Ctrl+` is pressed","Flips window.DEBUG_MODE boolean, finds debug table element by ID, if found sets display style to 'block' or 'none' based on new state, calls updateDebugTable() when enabling, logs new state, returns boolean",8
updateDebugTable,"Updates debug table with current deck state, can show confused cards or full deck","Gets options parameter with defaults (showConfused=false, deckToShow=currentDeck), determines which deck to display (confused or full), gets table body element, generates HTML rows for each card with index, word type, target word, translation, clears tbody.innerHTML and injects new HTML, handles Chinese coupling if in Chinese mode, can show simulate buttons based on mode",7
initializeDebugUI,"Initializes debug UI with language switcher and deck state visualization","Creates debug table container HTML with language radio buttons (Chinese/Spanish/English), deck state table headers, confused cards toggle, appends to document body, attaches event listeners to language radios (call switchLanguage on change), attaches listener to show confused checkbox (filters deck display), sets up Ctrl+` keyboard listener to call toggleDebugMode(), initially hides debug UI",8
normalizePronunciationText,"Normalizes text for pronunciation comparison (lowercase, removes spaces/punctuation)","Converts to lowercase, uses normalize('NFD') for decomposition, removes diacritics with replace(/[\u0300-\u036f]/g, ''), removes spaces with replace(/\s+/g, ''), handles language-specific cases (Chinese: keeps characters and Latin, removes punctuation; others: keeps alphanumeric only), returns normalized string",10
getSimilarityThreshold,"Returns similarity threshold percentage based on word length","Uses if-else chain: words <= 4 chars return 0.6 (60%), 5-8 chars return 0.7 (70%), > 8 chars return 0.75 (75%), longer words require higher accuracy",10
levenshteinDistance,"Calculates edit distance between two strings for fuzzy matching","Creates 2D matrix (str1.length+1 x str2.length+1), initializes first row/column with indices (base cases), uses nested loops to fill matrix, for each cell compares characters: if match copies diagonal value, if mismatch takes min(left+1, top+1, diagonal+1), returns bottom-right corner value (total edit distance)",10
